,,,,,,,,,
Country,Farming Practice,Site,Coleoptera ,Diptera,Heteroptera,Hymenoptera,Lepidoptera,Others ,Totals
Kenya,Large scale,Mliwa Swara,4,16,7,26,19,4,74
Kenya,Large scale,Church Range,1,7,2,29,15,0,54
Kenya,Large scale,MK,0,46,17,78,21,20,182
Kenya,Large scale,Jericho Range,0,10,4,7,9,1,31
Tanzania,Large scale,Siha,4,41,4,59,7,5,120
Kenya,Smallholder,Farm1,0,5,2,21,1,0,29
Kenya,Smallholder,Farm2,1,12,2,36,1,1,53
Kenya,Smallholder,Farm3,0,15,0,21,0,1,37
Kenya,Smallholder,Farm4,0,5,0,12,1,0,18
Kenya,Smallholder,Farm5,0,8,0,12,0,0,20
Kenya,Smallholder,Farm6,0,6,0,17,0,3,26
Kenya,Smallholder,Farm7,0,5,2,11,0,0,18
Kenya,Smallholder,Farm8,0,5,0,8,0,0,13
Kenya,Smallholder,Farm9,0,7,5,19,1,0,32
Kenya,Smallholder,Farm10,0,9,1,5,0,0,15
Tanzania,Smallholder,Lushoto,9,11,8,63,5,0,96
Tanzania,Smallholder,Mmari,7,8,4,10,5,4,36
